"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-10","15.88"," 0539","0.09",,"66","43","  260","  240","32.0","44.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-11","6.26"," 1440","0.00",,"61","36","  270","  260","18.1","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-12","6.93"," 1402","0.00",,"63","36","  190","  200","18.1","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-13","10.07"," 1237","0.07",,"72","45","  220","  220","31.1","42.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-14","4.70"," 1009","0.00",,"61","40","  150","   80","12.1","15.0",,,,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-15","8.05"," 1040","0.00",,"62","40","  110","  100","16.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-16","6.71"," 1154","0.04",,"63","41","  190","  160","17.0","21.9","    1",,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-17","5.14"," 1440","0.00",,"72","48","  120","  130","15.0","19.0","    1",,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-18","10.07"," 1240","0.00",,"71","45","   70","   60","21.0","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-19","14.09"," 1217","0.50",,"57","43","   90","   90","25.9","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-20","17.00"," 1541","0.21",,"64","46","  240","  250","30.0","40.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-21","15.43"," 1838","0.02",,"52","40","  240","  250","35.1","49.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-22","11.86"," 1616","0.00",,"42","36","  270","  280","21.9","32.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-23","9.62"," 1031","0.00",,"39","32","  310","  300","18.1","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-24","6.26"," 1503","0.00",,"57","28","   90","  320","13.0","19.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-25","9.17"," 2116","0.00",,"52","38","   80","   30","16.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-26","9.17"," 1710","0.00",,"57","34","   10","   20","17.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-27","8.28"," 0755","0.00",,"52","38","  360","  360","18.1","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-28","5.14"," 0928","0.00",,"60","34","   70","  350","13.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-29","4.70"," 1948","0.00",,"66","39","   60","   70","16.1","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-04-30","7.38"," 1527","0.63",,"55","43","   20","   20","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-01","5.82"," 1244","0.00",,"71","45","   10","   10","17.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-02","4.70"," 1513","0.00",,"75","47","  230","  260","14.1","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-03","9.40"," 1457","0.00",,"77","53","  180","  210","21.9","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-04","9.40"," 1144","0.03",,"74","59","  220","  240","21.9","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-05","6.71"," 0428","0.50",,"60","49","   50","   50","13.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-06","3.80"," 1031","0.11",,"69","50","  110","  140","8.9","14.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-07","4.92"," 1547","0.00",,"80","51","  120","  120","13.0","16.1",,,,
